DATE,WATER INTAKE,WATER DISCHARGE,Total coliform,E.Coli,ammonia,ferum,COD,BOD ,Total Grey
2020-05-24,7162.904955422629,7162.904955422629,4.1700961546382756e-05,0.003951463178269998,7.116945995646556,3.822215981196282,0.03753116626788153,0.045719210044581036,11.026405517295116
2020-05-25,6261.904955422629,6261.904955422629,4.1700961546382756e-05,0.003951463178269998,7.116945995646556,3.822215981196282,0.03753116626788153,0.045719210044581036,11.026405517295116
2020-05-26,6237.904955422629,6237.904955422629,4.1700961546382756e-05,0.003951463178269998,7.116945995646556,3.822215981196282,0.03753116626788153,0.045719210044581036,11.026405517295116
2020-05-27,5974.904955422629,5974.904955422629,4.1700961546382756e-05,0.003951463178269998,7.116945995646556,3.822215981196282,0.03753116626788153,0.045719210044581036,11.026405517295116
2020-05-28,6233.904955422629,6233.904955422629,4.1700961546382756e-05,0.003951463178269998,7.116945995646556,3.822215981196282,0.03753116626788153,0.045719210044581036,11.026405517295116
2020-05-29,6274.904955422629,6274.904955422629,4.1700961546382756e-05,0.003951463178269998,7.116945995646556,3.822215981196282,0.03753116626788153,0.045719210044581036,11.026405517295116
2020-05-30,6194.904955422629,6194.904955422629,4.1700961546382756e-05,0.003951463178269998,7.116945995646556,3.822215981196282,0.03753116626788153,0.045719210044581036,11.026405517295116
2020-05-31,6223.904955422629,6223.904955422629,4.1700961546382756e-05,0.0004677826721780875,7.116945995646556,3.822215981196282,0.03753116626788153,0.045719210044581036,11.022921836789024
2020-06-01,5764.911460147429,5764.911460147429,4.1700961546382756e-05,0.0004677826721780875,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2614502154562286
2020-06-02,5564.772950649829,5564.772950649829,4.1700961546382756e-05,0.0004677826721780875,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2614502154562286
2020-06-03,6197.265965179429,6197.265965179429,4.1700961546382756e-05,0.0004677826721780875,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2614502154562286
2020-06-04,6220.75500240743,6220.75500240743,4.1700961546382756e-05,0.0004677826721780875,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2614502154562286
2020-06-05,6056.101191338629,6056.101191338629,4.1700961546382756e-05,0.0004677826721780875,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2614502154562286
2020-06-06,5718.904955422629,5718.904955422629,4.1700961546382756e-05,0.0004677826721780875,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2614502154562286
2020-06-07,6659.904955422629,6659.904955422629,4.1700961546382756e-05,0.002602852067158888,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2635852848512095
2020-06-08,6507.904955422629,6507.904955422629,4.1700961546382756e-05,0.002602852067158888,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2635852848512095
2020-06-09,6520.904955422629,6520.904955422629,4.1700961546382756e-05,0.002602852067158888,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2635852848512095
2020-06-10,6523.904955422629,6523.904955422629,4.1700961546382756e-05,0.002602852067158888,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2635852848512095
2020-06-11,5869.904955422629,5869.904955422629,4.1700961546382756e-05,0.002602852067158888,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2635852848512095
2020-06-12,4331.904955422629,4331.904955422629,4.1700961546382756e-05,0.002602852067158888,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2635852848512095
2020-06-13,6437.904955422629,6437.904955422629,4.1700961546382756e-05,0.002602852067158888,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2635852848512095
2020-06-14,6630.904955422629,6630.904955422629,4.1700961546382756e-05,0.002602852067158888,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2635852848512095
2020-06-15,6482.904955422629,6482.904955422629,4.1700961546382756e-05,0.0012242657576350788,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2622066985416855
2020-06-16,5972.904955422629,5972.904955422629,4.1700961546382756e-05,0.0012242657576350788,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2622066985416855
2020-06-17,6307.904955422629,6307.904955422629,4.1700961546382756e-05,0.0012242657576350788,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2622066985416855
2020-06-18,5123.904955422629,5123.904955422629,4.1700961546382756e-05,0.0012242657576350788,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2622066985416855
2020-06-19,4423.904955422629,4423.904955422629,4.1700961546382756e-05,0.0012242657576350788,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2622066985416855
2020-06-20,4358.904955422629,4358.904955422629,4.1700961546382756e-05,0.0012242657576350788,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2622066985416855
2020-06-21,4167.904955422629,4167.904955422629,4.1700961546382756e-05,0.0005567158237726449,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2615391486078231
2020-06-22,5442.904955422629,5442.904955422629,4.1700961546382756e-05,0.0005567158237726449,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2615391486078231
2020-06-23,6409.904955422629,6409.904955422629,4.1700961546382756e-05,0.0005567158237726449,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2615391486078231
2020-06-24,6967.904955422629,6967.904955422629,4.1700961546382756e-05,0.0005567158237726449,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2615391486078231
2020-06-25,6798.904955422629,6798.904955422629,4.1700961546382756e-05,0.0005567158237726449,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2615391486078231
2020-06-26,6641.904955422629,6641.904955422629,4.1700961546382756e-05,0.0005567158237726449,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2615391486078231
2020-06-27,5325.904955422629,5325.904955422629,4.1700961546382756e-05,0.0005567158237726449,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2615391486078231
2020-06-28,5868.904955422629,5868.904955422629,4.1700961546382756e-05,0.0005567158237726449,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2615391486078231
2020-06-29,5220.904955422629,5220.904955422629,4.1700961546382756e-05,0.0005567158237726449,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2615391486078231
2020-06-30,6480.904955422629,6480.904955422629,4.1700961546382756e-05,0.0005567158237726449,1.0379187194583162,0.1793162670620946,0.02006736603707058,0.023638379265022706,1.2615391486078231
